Ticker,Open_Price,High_Price,Low_Price,Close_Price,Previous_Close,Number_Of_Trades,Volume,Trade_Date
RELIANCE,2719.95,2719.95,2678.35,2682.85,2722.65,20747,208698,2022-12-05 00:00:00
RELIANCE,2660,2697,2660,2688.25,2682.85,14549,197739,2022-12-06 00:00:00
RELIANCE,2686.8,2694.35,2643,2649.9,2688.25,11141,116129,2022-12-07 00:00:00
RELIANCE,2665.5,2665.5,2640.05,2649.5,2649.9,7925,93535,2022-12-08 00:00:00
RELIANCE,2648.9,2660.6,2602.15,2609.1,2649.5,15996,155892,2022-12-09 00:00:00
RELIANCE,2590,2623,2585,2612.25,2609.1,12262,117691,2022-12-12 00:00:00
RELIANCE,2617,2633.2,2606.75,2624.2,2612.25,9896,65370,2022-12-13 00:00:00
RELIANCE,2631.2,2639.5,2611,2614.9,2624.2,5302,42452,2022-12-14 00:00:00
RELIANCE,2609.5,2614.9,2571,2578.75,2614.9,7713,95215,2022-12-15 00:00:00
RELIANCE,2570,2619,2558.1,2565.1,2578.75,18159,169510,2022-12-16 00:00:00
RELIANCE,2583.95,2603.25,2567.7,2600,2565.1,6588,67621,2022-12-19 00:00:00
RELIANCE,2593.95,2626,2566.6,2621.15,2600,12996,129098,2022-12-20 00:00:00
RELIANCE,2622,2633.6,2576.35,2584.4,2621.15,8722,77509,2022-12-21 00:00:00
RELIANCE,2595.2,2606.65,2565.9,2577.9,2584.4,9175,93106,2022-12-22 00:00:00
RELIANCE,2564,2589.75,2493,2501.55,2577.9,38425,307147,2022-12-23 00:00:00
RELIANCE,2513.7,2542.05,2493.95,2524.5,2501.55,7874,95382,2022-12-26 00:00:00
RELIANCE,2529,2548.8,2514.35,2545.05,2524.5,18372,184837,2022-12-27 00:00:00
RELIANCE,2535.9,2549.9,2521.25,2544.45,2545.05,13441,168925,2022-12-28 00:00:00
RELIANCE,2532.05,2549,2526.5,2542.55,2544.45,13560,157229,2022-12-29 00:00:00
RELIANCE,2547,2576.9,2542.55,2548.2,2542.55,7964,77470,2022-12-30 00:00:00
RELIANCE,2556.9,2580,2548.2,2575.15,2548.2,14042,174612,2023-01-02 00:00:00
RELIANCE,2567.7,2573,2548.05,2557,2575.15,13214,136124,2023-01-03 00:00:00
RELIANCE,2555.2,2558.2,2522,2525.5,2557.95,11916,127795,2023-01-11 00:00:00
RELIANCE,2559,2559.6,2514.85,2518.15,2557,12141,172926,2023-01-04 00:00:00
RELIANCE,2525,2536,2504.25,2513.5,2518.15,9677,143907,2023-01-05 00:00:00
RELIANCE,2529,2547.5,2518.65,2537.25,2513.5,11000,113594,2023-01-06 00:00:00
RELIANCE,2543.7,2601.8,2539.1,2596.55,2537.25,22874,298492,2023-01-09 00:00:00
RELIANCE,2604.05,2605,2546.05,2557.95,2596.55,12735,152642,2023-01-10 00:00:00
RELIANCE,2525,2531.9,2465.65,2472.1,2525.5,16171,185343,2023-01-12 00:00:00
RELIANCE,2468.6,2473.2,2434.8,2467.35,2472.1,25804,248982,2023-01-13 00:00:00
RELIANCE,2474.9,2479.75,2436.05,2444.7,2467.35,10360,140006,2023-01-16 00:00:00
RELIANCE,2453.15,2483.5,2452,2478.55,2444.7,13442,186970,2023-01-17 00:00:00
RELIANCE,2479,2491.5,2460.45,2474.6,2478.55,7526,126814,2023-01-18 00:00:00
RELIANCE,2474.2,2480.95,2457.5,2471.1,2474.6,11803,201558,2023-01-19 00:00:00
RELIANCE,2481.7,2481.7,2438.1,2442.7,2471.1,11317,174012,2023-01-20 00:00:00
RELIANCE,2450,2466,2426,2429.6,2442.7,19969,213860,2023-01-23 00:00:00
RELIANCE,2432.5,2443.9,2388.65,2415.15,2429.6,15122,349349,2023-01-24 00:00:00
RELIANCE,2410,2414.8,2381,2382.95,2415.15,14987,103914,2023-01-25 00:00:00
